timestamp,name,account_balance
0,Kenneth Robinson,19349
40,Keith Breitbart,25490
163,Carmelo Rierson,-13942
210,Alice Simkins,-15135
211,Myrtle Wyse,64049
241,Paul Taylor,7550
327,Shane Abell,-723
343,Kenneth Pace,49865
412,Quentin Cook,52597
612,Jose Prieto,-262
643,James Edgerton,73817
766,Courtney Tolman,25964
908,Roland Reeves,-12026
1010,Valerie Butler,43389
1146,Ashley Taylor,86515
1209,Gertrude Elam,10852
1242,Grace Kertis,80515
1374,Charles Hicks,54386
1420,Francis Govea,-19565
1542,Amy Strange,48323
1622,Mindy Cordova,25333
1759,Allan Campbell,60618
1900,Richard Johnson,66163
2055,Alfred Ladouceur,70871
2237,Beverly Rann,40218
2321,Barbara Harrell,37366
2519,Sherry Brown,95885
2691,Eliseo Vanover,45919
2740,Debbie Sierra,69263
2771,Arthur Oates,19962
2782,Jennifer Wright,-11590
2903,Judy Roberts,-1983
2906,Hana Miles,14444
3066,Catherine Ngo,72768
3082,Frank Decoteau,96882
3193,Willie Levar,-16563
3270,Randy Mackey,92416
3284,Barbara Ermitanio,96669
3382,John Pettit,18900
3570,James Christopher,52359
3678,Cheryl Bonds,24137
3680,Thelma Green,54517
3745,Kevin Filipiak,36142
3899,Madelyn Fischetti,34592
3969,Brian Ficklin,-19828
3976,Tricia Lewis,48799
4138,Shirley Woodring,41074
4143,Maria Solian,32055
4339,Larraine Cunningham,1790
4495,Barbara Ermitanio,10002
4565,Rebecca Patterson,64899
4626,Genevieve Hernandez,-8632
4695,David Rodriguez,60053
4786,Willie Riekena,78794
4841,Candace Allen,62623
4920,Jerome Wong,3273
5051,Michael Raver,24917
5221,Kenneth Collinsworth,20013
5372,Tom Shockley,-3033
5442,Patricia Vega,65675
5495,Rose Tucker,49806
5592,Matthew Peak,-8232
5716,Charlotte Atkins,70093
5868,Michelle Davey,67017
5983,Jennifer Coates,3767
6171,Eddie Watkins,78481
6257,Mattie Verdugo,76074
6405,Fred Bunting,77346
6530,Bridgette Charlie,19318
6600,Tawnya Pullum,5599
6766,Barbara Spears,37728
6958,Ethel Gary,48508
7048,Fred Dotson,61193
7181,Debra Escobar,57930
7361,Michael Salinas,-15978
7460,James Lawson,62771
7575,Michael Mauldin,32021
7743,Charles Bailey,90138
7884,Ashley Harris,-368
8043,Douglas Griffin,84247
8199,Palma Frederick,-18590
8268,Kenneth Salas,84091
8411,Jennifer Merritt,97769
8610,James Hildreth,13736
8795,Valarie Wargo,66963
8863,Ken Bland,60251
8961,Madalyn Viele,81371
9097,Kimberly Grove,83053
9286,Harriet Mckinley,-16455
9351,Jeffery Brown,40082
9355,Kim Shutts,17477
9412,Fredrick Corona,26140
9437,Jerrod Payne,-9088
9627,Leo Reiher,80826
9695,Eileen Harrison,35497
9815,Pauline Parson,91691
9898,Catherine Ngo,54522
9940,Lucille Dejesus,76626
10009,Sharon Stiteler,-5685
10121,Keith Beu,-5912
10165,Brittany Connor,-5288
10278,Maria Gonzales,-16520
10294,Shelia Gower,30533
10468,Christian Walker,-11174
10610,Robin Ponyah,9901
10648,David Collins,58403
10748,Richard Johnson,75593
10873,Robert Seaver,-13282
11026,Jennifer Jock,-1288
11196,Brent Goff,86235
11361,Patricia Dickens,94818
11415,Larry Bishop,-5907
11447,Deena Blizzard,33771
11545,Annette Morales,74682
11723,Margaret Mcgregor,99595
11884,Michael Harris,-4237
12020,Dorothy Bounds,-4723
12059,Joshua Jorge,53315
12136,Ronald Wachtel,-5167
12232,Jeremiah Tarango,91600
12293,Rodney Winter,22742
12360,Bernice Stehle,93808
12508,Jason Roy,52836
12643,Greta Lynch,99906
12650,Kenneth Neblett,-9790
12704,Jason Adcock,50405
12754,Howard Camargo,79716
12765,William Zietlow,33007
12896,Katherine Lohrenz,56537
12992,Silvia Serrano,-10897
13189,David Neal,54713
13249,Clara Farmer,55867
13434,Billy Shary,10279
13619,Diana Fox,-8375
13752,Jennifer Tindol,75021
13825,Jeffrey Quinlan,-210
