timestamp,name,account_balance
0,user0,154476
27,user1,-140645
138,user2,970733
188,user3,118355
367,user4,654902
434,user5,429834
533,user6,597364
659,user7,984209
755,user8,539871
832,user9,777180
903,user10,320221
999,user11,887774
1027,user12,-89028
1123,user13,116016
1145,user14,128810
1292,user15,-175016
1378,user16,633152
1385,user17,-135170
1532,user18,936827
1585,user19,362347
1777,user20,-87784
1783,user21,-127281
1974,user22,373723
2163,user23,-31609
2347,user24,-141707
2401,user25,446489
2451,user26,261920
2525,user27,970983
2566,user28,-192262
2711,user29,799859
2730,user30,176755
2796,user31,805896
2862,user32,974819
2884,user33,-163413
2958,user34,449675
2976,user35,95871
3069,user36,748255
3192,user37,190197
3355,user38,698952
3360,user39,-196679
3430,user40,262239
3483,user41,84041
3652,user42,794044
3755,user43,675092
3889,user44,348897
4041,user45,72051
4194,user46,36319
4344,user47,-21906
4405,user48,185181
4478,user49,619800
4602,user50,860303
4622,user51,81565
4770,user52,292125
4829,user53,786049
5004,user54,80834
5170,user55,366744
5237,user56,774792
5409,user57,536698
5524,user58,601156
5594,user59,955308
5736,user60,779147
5848,user61,44823
5942,user62,123107
6022,user63,666110
6174,user64,37575
6367,user65,933664
6511,user66,234518
6552,user67,999319
6563,user68,481679
6758,user69,629047
6914,user70,711749
7091,user71,202829
7154,user72,446525
7341,user73,361781
7522,user74,448253
7556,user75,906165
7739,user76,90135
7776,user77,485805
7909,user78,651027
8037,user79,414598
8109,user80,634952
8282,user81,965056
8380,user82,55046
8425,user83,-40639
8568,user84,667868
8756,user85,528710
8777,user86,304388
8935,user87,58214
9073,user88,535674
9112,user89,10167
9115,user90,-171625
9198,user91,506275
9381,user92,840637
9433,user93,-159707
9616,user94,637561
9791,user95,278276
9961,user96,352908
10039,user97,671936
10164,user98,829880
10172,user99,511775
10370,user100,526745
10454,user101,7074
10596,user102,620203
10772,user103,485791
10803,user104,561563
10996,user105,-20282
11185,user106,-164522
11188,user107,706666
11212,user108,599964
11271,user109,516783
11375,user110,145338
11404,user111,230402
11556,user112,620074
11575,user113,-48974
11764,user114,163453
11823,user115,-76555
11940,user116,694529
12046,user117,-126360
12191,user118,201136
12262,user119,715196
12321,user120,365748
12408,user121,276470
12478,user122,766977
12674,user123,30798
12844,user124,400614
12851,user125,541479
13036,user126,707388
13179,user127,116415
13270,user128,5172
13452,user129,-18932
13625,user130,748578
13677,user131,925965
13760,user132,792135
13867,user133,788487
14064,user134,602705
14144,user135,480784
14278,user136,400917
14365,user137,954212
14417,user138,92109
14511,user139,329470
14711,user140,651224
14811,user141,413482
14990,user142,209901
15186,user143,-193375
15375,user144,24839
15478,user145,988789
15535,user146,-167694
15664,user147,753272
15737,user148,485408
15791,user149,-177927
15875,user150,168520
16040,user151,278535
16134,user152,900225
16330,user153,146616
16470,user154,679870
16540,user155,856013
16718,user156,-19956
16886,user157,512017
17077,user158,-133711
17097,user159,916220
17119,user160,404964
17293,user161,600169
17436,user162,153467
17442,user163,891047
17557,user164,-143361
17713,user165,-179817
17907,user166,549990
17988,user167,653191
18005,user168,774045
18008,user169,981625
18106,user170,745169
18263,user171,265005
18312,user172,494792
18376,user173,-193738
18415,user174,61793
18454,user175,486366
18597,user176,380272
18656,user177,118056
18729,user178,652450
18921,user179,337245
19104,user180,210037
19300,user181,337989
19497,user182,325905
19648,user183,646301
19783,user184,287241
19790,user185,980849
19831,user186,529789
20027,user187,65964
20105,user188,484560
20293,user189,-191372
20314,user190,364626
20360,user191,933209
20409,user192,14965
20488,user193,894569
20642,user194,741843
20833,user195,861771
20997,user196,647562
21136,user197,395225
21261,user198,20694
21410,user199,676087
21599,user200,547434
21617,user201,383094
21681,user202,885381
21771,user203,-117898
21937,user204,608546
21942,user205,886840
22040,user206,306733
22147,user207,681754
22258,user208,372953
22454,user209,383764
22523,user210,102255
22672,user211,121661
22702,user212,255467
22805,user213,650231
22885,user214,886622
23042,user215,33487
23234,user216,158744
23430,user217,758982
23563,user218,724460
23717,user219,404468
23865,user220,261616
23873,user221,284350
23905,user222,-89775
24013,user223,578753
24058,user224,210979
24064,user225,328280
24100,user226,585801
24148,user227,-142584
24245,user228,-125668
24300,user229,922818
24376,user230,60906
24396,user231,478379
24547,user232,827489
24628,user233,741683
24782,user234,85307
24818,user235,141738
24892,user236,682069
24916,user237,978467
25040,user238,-181878
25115,user239,-110947
25160,user240,621741
25357,user241,60521
25414,user242,453364
25588,user243,160181
25654,user244,25444
25698,user245,706106
25789,user246,525462
25941,user247,762758
25990,user248,497948
26058,user249,318560
26141,user250,137600
26296,user251,704823
26404,user252,900306
26408,user253,894455
26517,user254,574884
26575,user255,891947
26708,user256,820389
26769,user257,264075
26934,user258,-176122
26963,user259,54185
27130,user260,142691
27327,user261,-52734
27491,user262,928913
27547,user263,563613
27681,user264,-111683
27851,user265,226980
27922,user266,638803
28063,user267,-146964
28250,user268,885318
28321,user269,526409
28490,user270,561961
28574,user271,192654
28682,user272,776105
28790,user273,518889
28899,user274,841785
29081,user275,499848
29256,user276,110440
29374,user277,-63557
29473,user278,181365
29670,user279,943786
29771,user280,242423
29773,user281,675459
29860,user282,-87412
29970,user283,821420
30013,user284,302521
30143,user285,-182806
30266,user286,215881
30360,user287,211700
30464,user288,223954
30507,user289,641092
30623,user290,668724
30687,user291,36097
30827,user292,-117719
30838,user293,122990
30930,user294,-83842
30965,user295,-198653
31081,user296,543238
31141,user297,206498
31266,user298,76737
31438,user299,-19784
31609,user300,955230
31674,user301,-15233
31702,user302,170864
31760,user303,583058
31774,user304,301530
31830,user305,846103
31869,user306,43347
31980,user307,191967
32129,user308,-189078
32248,user309,967540
32255,user310,705109
32332,user311,-148654
32338,user312,148491
32368,user313,420741
32502,user314,416087
32552,user315,942782
32570,user316,163574
32722,user317,106069
32810,user318,481132
32963,user319,300932
32980,user320,651232
33023,user321,381586
33167,user322,452960
33303,user323,-166434
33362,user324,343933
33542,user325,850975
33650,user326,528687
33739,user327,666468
33796,user328,3077
33802,user329,317611
33947,user330,473936
34000,user331,-103625
34008,user332,675747
34176,user333,67261
34342,user334,991981
34539,user335,39880
34731,user336,102094
34821,user337,870252
35014,user338,387850
35204,user339,14423
35361,user340,733463
35524,user341,218283
35582,user342,892466
35712,user343,433055
35870,user344,144881
35947,user345,159699
36099,user346,-137952
36105,user347,-3207
36148,user348,219620
36168,user349,546638
36285,user350,326411
36442,user351,37473
36546,user352,646582
36729,user353,876378
36731,user354,929786
36866,user355,626544
37045,user356,-15605
37093,user357,804159
37227,user358,844396
37344,user359,501844
37405,user360,538703
37582,user361,256468
37590,user362,595469
37697,user363,32667
37839,user364,827050
37909,user365,898909
37974,user366,714561
38039,user367,612735
38080,user368,90502
38190,user369,-51192
38204,user370,-147872
38324,user371,378141
38487,user372,479150
38621,user373,156312
38773,user374,944447
38894,user375,383543
39043,user376,-158629
39070,user377,877116
39118,user378,551863
39255,user379,-150219
39347,user380,67961
39463,user381,992937
39564,user382,338297
39620,user383,960957
39755,user384,-147559
39770,user385,614902
39799,user386,-38102
39924,user387,506147
40079,user388,-9851
40185,user389,53982
40357,user390,537140
40548,user391,546386
40675,user392,618317
40801,user393,462891
40981,user394,583714
41068,user395,729030
41242,user396,323528
41285,user397,556515
41414,user398,712069
41484,user399,500199
41568,user400,20983
41758,user401,71438
41903,user402,113176
42040,user403,-98221
42199,user404,725571
42235,user405,799049
42314,user406,867568
42478,user407,-102159
42546,user408,708202
42636,user409,186667
42667,user410,381165
42688,user411,-167467
42825,user412,246470
42852,user413,388042
42919,user414,781868
42953,user415,425144
43106,user416,784802
43143,user417,-42525
43219,user418,643616
43416,user419,568781
43497,user420,877028
43614,user421,434054
43783,user422,945166
43963,user423,449932
44002,user424,216534
44167,user425,265234
44283,user426,749574
44327,user427,406414
44359,user428,296804
44512,user429,625178
44688,user430,916656
44796,user431,551750
44952,user432,342157
44984,user433,152445
45073,user434,192557
45140,user435,484516
45296,user436,579621
45465,user437,-86310
45513,user438,103528
45614,user439,791993
45702,user440,823007
45831,user441,-64108
45854,user442,256532
46050,user443,527135
46209,user444,144749
46224,user445,422686
46378,user446,912705
46400,user447,715756
46459,user448,-104840
46589,user449,-61204
46663,user450,944323
46803,user451,-105147
46956,user452,503291
47000,user453,622040
47101,user454,-168937
47218,user455,864144
47296,user456,-151303
47312,user457,471450
47503,user458,902312
47670,user459,269727
47729,user460,329025
47825,user461,47192
47892,user462,-47585
47948,user463,765610
48120,user464,237083
48291,user465,147001
48418,user466,-149286
48532,user467,825964
48722,user468,-40730
48769,user469,606722
48930,user470,321823
49085,user471,555547
49270,user472,143680
49357,user473,-143017
49532,user474,934594
49727,user475,-151123
49871,user476,852793
50009,user477,-33930
50072,user478,668048
50270,user479,51611
50425,user480,190619
50468,user481,584743
50599,user482,72736
50780,user483,727182
50894,user484,740682
51054,user485,64780
51073,user486,-106826
51139,user487,164149
51180,user488,582351
51287,user489,171575
51411,user490,628974
51589,user491,215498
51710,user492,829440
51852,user493,799060
51875,user494,91907
52053,user495,159659
52106,user496,809348
52240,user497,-56576
52424,user498,81600
52527,user499,898208
52722,user500,623547
52862,user501,-199199
52995,user502,493907
53145,user503,496978
53226,user504,261402
53350,user505,620264
53374,user506,231094
53558,user507,957265
53678,user508,776822
53743,user509,897750
53885,user510,637797
54018,user511,319918
54076,user512,94546
54159,user513,506219
54163,user514,603065
54353,user515,56467
54499,user516,738354
54594,user517,541083
54726,user518,751797
54820,user519,541387
54850,user520,983881
55014,user521,213893
55137,user522,709209
55152,user523,177428
55325,user524,963285
55327,user525,555126
55407,user526,-151050
55450,user527,125523
55561,user528,660799
55612,user529,254446
55676,user530,-37497
55870,user531,215322
55918,user532,-69146
55975,user533,321780
56076,user534,-179403
56219,user535,999110
56405,user536,106577
56425,user537,101262
56620,user538,266187
56695,user539,818624
56818,user540,908342
56907,user541,931006
57040,user542,569776
57233,user543,880049
57344,user544,-147074
57477,user545,332757
57541,user546,839579
57564,user547,574752
57725,user548,-135904
57923,user549,563380
58115,user550,389459
58282,user551,339087
58472,user552,851055
58504,user553,885664
58667,user554,62839
58782,user555,-106765
58817,user556,753393
58836,user557,730097
58840,user558,320998
59026,user559,296520
59081,user560,555957
59138,user561,547204
59299,user562,384027
59317,user563,415667
59467,user564,355971
59535,user565,323124
59731,user566,-189062
59768,user567,70152
59937,user568,584100
60064,user569,513538
60199,user570,384023
60288,user571,877998
60319,user572,311832
60356,user573,796642
60535,user574,143749
60586,user575,181470
60661,user576,804519
60799,user577,-194191
60893,user578,310375
60923,user579,510732
61037,user580,119367
61089,user581,429229
61281,user582,-100723
61415,user583,475405
61475,user584,201332
61546,user585,535484
61662,user586,11148
61744,user587,247159
61796,user588,790201
61807,user589,76786
61877,user590,825863
61943,user591,572014
62050,user592,109660
62119,user593,578880
62132,user594,502258
62227,user595,-111434
62331,user596,709710
62364,user597,115787
62467,user598,96337
62599,user599,44074
62721,user600,735813
62915,user601,882365
