timestamp,name,account_balance
1000,user1804,263478
1540,user858,868805
1028,user1352,958180
61,user8,634402
1922,user132,231239
1058,user520,246384
592,user1296,692719
1185,user870,929820
1569,user1224,922969
364,user927,798168
1045,user1178,-164866
1082,user1204,712247
1289,user1205,728492
141,user1590,229123
1732,user1968,875578
1589,user645,-18823
1136,user552,410937
6,user414,108675
410,user480,215872
298,user832,688263
1217,user992,597170
1556,user1665,550615
1482,user1715,234740
96,user1261,249602
683,user426,189596
1438,user1893,688093
1512,user332,392532
183,user1589,877434
1388,user1522,58268
23,user1305,175542
1194,user1096,-47447
710,user489,272619
866,user1955,858879
475,user337,754883
1148,user1177,974925
283,user20,970302
1519,user676,-2173
605,user842,916540
230,user1698,456244
818,user1256,726700
1008,user1159,219363
1664,user810,-167968
1357,user185,798920
1996,user520,983914
963,user1025,-110804
1395,user237,-81417
1182,user411,927095
303,user483,762207
880,user696,373157
1355,user519,712273
1240,user889,562989
1465,user321,522735
150,user674,343567
791,user1992,546023
499,user1440,432761
368,user129,57626
1633,user662,333433
1269,user1741,574427
1224,user1969,955321
1240,user659,59408
13,user527,548510
1691,user1916,663871
1814,user1528,751005
1285,user673,-199316
1538,user1820,-28692
1066,user1441,27729
80,user912,639514
1970,user15,815681
1358,user1781,485600
1643,user1536,674994
229,user821,950881
1659,user1099,931576
222,user95,210133
808,user1876,517916
915,user70,833520
1931,user404,359211
1697,user1343,271940
1243,user1552,128410
925,user584,-167083
1678,user1011,414528
1039,user1157,153101
352,user1398,822228
410,user1072,832174
1332,user565,946402
474,user96,-48658
770,user943,78079
686,user892,427318
1314,user244,276257
491,user1181,814115
677,user120,76138
1649,user492,335270
1001,user688,939388
723,user1110,667550
822,user704,33957
1603,user694,720082
1666,user82,623791
1408,user621,401564
1017,user308,743850
1081,user1248,221059
893,user1085,-157629
342,user571,925281
513,user939,696483
1549,user1980,216944
1261,user898,-110749
1992,user214,272025
1405,user473,118409
864,user1685,92117
1510,user1097,-31513
786,user1576,491369
1483,user980,-98848
1614,user155,521199
1797,user1452,826382
695,user1813,744123
1457,user1832,169152
1732,user572,933623
1198,user1356,491102
970,user1317,-53943
429,user1543,535982
1967,user1529,620913
1741,user1026,340911
1457,user842,970082
1844,user1688,661306
333,user1885,91596
1607,user938,717930
412,user332,418675
1380,user320,-7738
684,user1773,667958
604,user639,-98359
676,user37,547880
1851,user1939,505412
1,user1938,925033
209,user684,153442
1720,user298,708032
764,user351,54381
954,user1609,688598
1550,user197,-101034
970,user1041,819677
1471,user919,915101
1224,user385,863418
42,user113,28709
169,user351,-85577
1934,user137,673496
331,user1519,854955
928,user830,336574
573,user211,953803
415,user36,-188979
1705,user1035,74707
825,user793,544185
1182,user493,991952
592,user1236,172133
1286,user837,934291
1365,user827,568021
215,user294,287383
1542,user1261,824542
1943,user75,918951
1628,user582,173238
1845,user1315,846337
985,user685,90346
829,user1320,728741
769,user1734,801640
1249,user1362,417860
614,user1546,-80607
909,user1260,967093
613,user1925,188165
1099,user352,521428
1006,user1880,985684
296,user1422,638303
1317,user112,646911
1757,user936,-134813
552,user1189,847203
1779,user1908,134727
268,user970,985810
723,user1008,-194222
1682,user1744,683224
1444,user458,416320
1478,user575,12331
505,user1496,261787
1760,user976,-119663
821,user1914,274395
519,user27,319936
183,user1553,817891
1663,user1847,284352
968,user1291,372017
1828,user690,827032
1889,user599,523879
1998,user247,814675
1476,user588,-85017
981,user1100,430339
377,user1347,850421
354,user460,34426
1976,user844,27763
854,user1021,70259
1681,user624,953629
800,user227,-96644
124,user1830,-77877
1640,user1168,572534
176,user751,803888
1864,user1936,933617
1464,user310,679614
183,user951,70367
517,user963,751404
834,user208,77856
1725,user1837,22887
1818,user1968,605491
609,user733,-97062
1166,user317,136849
1787,user537,668592
844,user962,877775
1456,user520,260429
846,user1484,550378
1729,user1185,472446
1248,user1982,357152
890,user1926,565044
1810,user986,758439
375,user19,-93516
318,user1812,278051
1960,user880,969120
1249,user445,139749
1919,user737,566237
1630,user387,849347
1067,user1992,999493
870,user759,631833
245,user1433,617461
293,user1932,841564
1293,user695,188534
1785,user106,925946
262,user1881,946938
1915,user336,768777
134,user1843,663481
1802,user1471,143639
1414,user373,447062
399,user388,173258
776,user1101,257392
630,user1205,528589
899,user701,258208
1378,user1157,-161376
348,user1116,295854
1180,user395,146717
914,user1945,-196829
1713,user1620,916721
135,user971,322076
193,user1509,466772
343,user959,505271
180,user1827,659706
545,user891,546341
41,user1189,133354
1834,user1196,827038
1812,user1353,748918
1012,user1156,398623
367,user533,571029
1608,user207,857672
1894,user34,470536
47,user1499,-21307
1859,user1220,321104
1176,user856,873842
949,user294,221801
1966,user1072,177845
404,user1333,429365
9,user1472,982971
970,user944,-132982
1581,user1590,630550
262,user104,616219
1008,user198,8282
1053,user299,-37116
